No;name;description;Bahan_Masakan;Bahan_Utama;Cara_Masak;Usia_Min;Usia_Max;Tekstur;Est_Harga;Kalori_(kkal);Protein_(g);Lemak_(g);Zat_Besi_(mg);Seng_(mg);Tag_Makanan;Potensi_Alergi;Image_URL
1;MPASI Daging Ayam Wortel Lembut;Bunda, menu **MPASI Daging Ayam Wortel Lembut** adalah pilihan cerdas untuk fase tumbuh kembang usia 6 bulan. Dengan profil nutrisi yang kaya (12.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur halus sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 30gram daging ayam tanpa kulit 

- 1 Buah wortel kecil 50 ml air matang";Daging Ayam;"Cuci bersih daging ayam dan wortel, lalu potong kecil-kecil agar cepat matang.

Kupas wortel kemudian iris tipis atau dadu kecil.

Masukkan daging ayam dan wortel ke dalam panci atau kukusan.

Tambahkan 50 ml air matang.

Masak hingga ayam matang dan wortel menjadi lunak.

Haluskan semua bahan menggunakan blender atau saringan sesuai tekstur yang diinginkan.

Sajikan MPASI selagi hangat.
";6;8;Bubur Halus;8000;90;12;3,5;1,2;0,8;Peninggi Badan;Daging Ayam;recipes/mpasi_daging_ayam_wortel_lembut.jpg
2;MPASI Bubur Daging Ayam Kentang;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **MPASI Bubur Daging Ayam Kentang**. Menu ini diformulasikan khusus untuk usia 7 bulan dengan fokus pada peninggi badan. Zat besi 1.1mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 2 SDM nasi matang 

- 2.30gram daging ayam giling 

- Setengah kentang ukuran kecil 

- Kaldu ayam homemade secukupnya";Daging Ayam, Kentang;"1. Kupas kentang lalu potong kecil-kecil agar cepat matang.

2. Masukkan kentang dan daging ayam giling ke dalam panci.

3. Tambahkan kaldu ayam homemade secukupnya, lalu masak hingga ayam matang dan kentang lunak.

4. Masukkan nasi matang ke dalam panci, kemudian aduk rata.

5. Masak dengan api kecil hingga semua bahan menyatu dan teksturnya menjadi bubur.

6. Haluskan sesuai tekstur yang diinginkan menggunakan blender atau saringan.

7. Sajikan bubur ayam kentang selagi hangat.
";7;9;Bubur Halus;8500;110;12;4;1,1;0,9;Peninggi Badan;Daging Ayam, Kentang;recipes/mpasi_bubur_daging_ayam_kentang.jpg
3;MPASI Sup Daging Ayam Bayam;Sebagai asupan peninggi badan, menu **MPASI Sup Daging Ayam Bayam** ini sangat saya rekomendasikan untuk si Kecil usia 8 bulan ke atas. Kandungan protein 12.0g dan zat besi 1.8mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur kasar-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 1/40gram daging ayam 

- 1 genggam daun bayam 

- 1 Siung bawang putih 

- Air 100 ml";Daging Ayam, Bayam;"1. Cuci bersih daging ayam, daun bayam, dan bawang putih.

2. Potong kecil daging ayam agar cepat matang.

3. Iris tipis bawang putih lalu tumis sebentar hingga harum.

4. Masukkan daging ayam dan aduk hingga berubah warna.

5. Tuangkan 100 ml air, kemudian masak hingga ayam empuk.

6. Masukkan daun bayam dan masak sebentar sampai layu.

7. Haluskan sup sesuai tekstur yang diinginkan menggunakan blender atau saringan.

8. Sajikan sup daging ayam bayam selagi hangat.
";8;11;Bubur Kental;9000;125;12;5,5;1,8;1;Peninggi Badan;Daging Ayam;recipes/mpasi_sup_daging_ayam_bayam.jpg
4;MPASI Daging Ayam Labu Kuning;Bunda, menu **MPASI Daging Ayam Labu Kuning** adalah pilihan cerdas untuk fase tumbuh kembang usia 9 bulan. Dengan profil nutrisi yang kaya (12.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kasar sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 30 g daging ayam cincang

- 2 sdm labu kuning kukus

- 1 sdm beras

- 150 ml ai";Daging Ayam, Labu Kuning;"- Siapkan daging ayam dan labu kuning

- Campur semua bahan, 

- Siapkan panic sebagai wadah kukusan

- kukus �30 menit, 

- haluskan sesuai tekstur";9;12;Bubur Kasar;9000;115;12;3,8;1;0,8;Gizi Seimbang;Daging Ayam, Labu Kuning;recipes/mpasi_daging_ayam_labu_kuning.jpg
5;Bola Daging Ayam Oat Kukus;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bola Daging Ayam Oat Kukus**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada peninggi badan. Zat besi 1.5mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 50 g ayam cincang 

- 2 sdm oat halus 

- 1 sdm wortel parut 

- 1 butir telur puyuh (opsional)";Oat, Daging Ayam;"- Siapkan bahan-bahan 

- Campurkan daging ayam, wortel, dan telur puyuh ke dalam mangkok

- Beri sedikit air agar tekstur lunak

- Blender dan remas-remas

- Bentuk bola kecil

- Sediakan wadah sebagai pengkukus

- Kukus selama 10-15 menit

- Bola ayam sedia disajikan";10;24;Makanan Jari;10000;160;13;6,5;1,5;1,2;Peninggi Badan;Daging Ayam, Oat, Telur Puyuh;recipes/bola_daging_ayam_oat_kukus.jpg
6;Bubur Daging Ayam Brokoli;Sebagai asupan peninggi badan, menu **Bubur Daging Ayam Brokoli** ini sangat saya rekomendasikan untuk si Kecil usia 7 bulan ke atas. Kandungan protein 12.0g dan zat besi 1.3mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 sdm beras 

- 30 g ayam 

- 2 kuntum brokoli 

- Air kaldu secukupnya";Daging Ayam;"- Letakkan daging ayam dan brokoli di atas wajan 

- Rebus semua bahan hingga lunak, 

- blender halus daging ayam dan brokoli 

- Setelah diblender, tuangkan dan sajikan buat si kecil";7;9;Bubur Halus;8000;105;12;3,5;1,3;0,9;Peninggi Badan;Daging ayam;recipes/bubur_daging_ayam_brokoli.jpg
7;Daging Ayam Tofu Lembut;Bunda, menu **Daging Ayam Tofu Lembut** adalah pilihan cerdas untuk fase tumbuh kembang usia 12 bulan. Dengan profil nutrisi yang kaya (13.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan keluarga sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 40 g ayam halus

- 30 g tofu (tahu sutra)

- 1 sdm wortel parut";Daging Ayam;"- Campur semua bahan 

- kukus 15 menit 

- lumatkan dengan garpu.";12;24;Makanan Keluarga;11000;145;13;7;1,6;1,1;Gizi Seimbang;Daging ayam, Tofu;recipes/daging_ayam_tofu_lembut.jpg
8;Nasi Tim Daging Ayam Jagung;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Nasi Tim Daging Ayam Jagung**. Menu ini diformulasikan khusus untuk usia 10 bulan dengan fokus pada penambah berat badan. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 3 sdm nasi lembek

- 40 g ayam cincang

- 2 sdm jagung pipil

- 1 sdm keju parut (opsional)";Daging Ayam, Jagung;"- Campur semua bahan 

- kukus 30 menit 

- sajikan hangat.";10;18;Nasi Tim;9500;155;12;5;1,2;1;Penambah Berat Badan;Daging Ayam, Jagung;recipes/nasi_tim_daging_ayam_jagung.jpg
9;Sup Krim Daging Ayam dan Kentang;Sebagai asupan penambah berat badan, menu **Sup Krim Daging Ayam dan Kentang** ini sangat saya rekomendasikan untuk si Kecil usia 10 bulan ke atas. Kandungan protein 12.0g dan zat besi 1.1mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 50 g ayam 

- � kentang 

- 2 sdm susu full cream (atau ASI) 

- Air 100 ml";Daging Ayam, Kentang;"1. Cuci bersih daging ayam dan kentang.

2. Kupas kentang lalu potong kecil-kecil agar cepat matang.

3. Masukkan ayam dan kentang ke dalam panci.

4. Tambahkan 100 ml air, lalu masak hingga ayam matang dan kentang empuk.

5. Haluskan ayam dan kentang menggunakan blender atau saringan hingga lembut.

6. Tambahkan susu full cream atau ASI, lalu aduk rata.

7. Masak kembali sebentar dengan api kecil sambil diaduk agar teksturnya creamy.

8. Sajikan sup krim daging ayam kentang selagi hangat.
";10;24;Cincang Halus;12000;180;12;8,5;1,1;0,9;Penambah Berat Badan;Daging Ayam, Susu;recipes/sup_krim_daging_ayam_dan_kentang.jpg
10;Puding Daging Ayam Sayur Gurih;Bunda, menu **Puding Daging Ayam Sayur Gurih** adalah pilihan cerdas untuk fase tumbuh kembang usia 11 bulan. Dengan profil nutrisi yang kaya (12.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur puding lembut sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 30 g ayam cincang 

- 1 butir telur 

- 2 sdm wortel cincang 

- 1 sdm tepung maizena 

- Air 100 ml";Daging Ayam;"1. Cuci bersih wortel lalu cincang halus.

2. Campurkan ayam cincang, telur, wortel cincang, dan tepung maizena dalam wadah.

3. Tambahkan 100 ml air sedikit demi sedikit sambil diaduk hingga adonan tercampur rata.

4. Tuang adonan ke dalam mangkuk atau cetakan tahan panas.

5. Kukus adonan selama kurang lebih 20�25 menit hingga matang dan set.

6. Angkat lalu dinginkan sebentar.

7. Sajikan puding daging ayam sayur sesuai tekstur yang diinginkan.
";11;24;Puding Lembut;10000;165;12;7,5;1,4;1,1;Gizi Seimbang;Daging Ayam, Telur;recipes/puding_daging_ayam_sayur_gurih.jpg
